iter	MAE
0	4.746942045
1	4.493055871
2	4.272133181
3	4.069272405
4	3.884911671
5	3.738057585
6	3.607002196
7	3.506132515
8	3.40729294
9	3.320474995
10	3.249209965
11	3.192061448
12	3.140620644
13	3.092100584
14	3.052170507
15	3.020241229
16	2.992576799
17	2.966575212
18	2.939787622
19	2.91428104
20	2.896381544
21	2.885093886
22	2.869985991
23	2.856175039
24	2.844262388
25	2.834814197
26	2.8266345
27	2.819295047
28	2.806196425
29	2.795170967
30	2.788719853
31	2.78416505
32	2.780970405
33	2.775083135
34	2.769224297
35	2.761640421
36	2.754601249
37	2.751715986
38	2.746605514
39	2.741029323
40	2.73984507
41	2.736303126
42	2.732253044
43	2.73027602
44	2.726433082
45	2.71674463
46	2.711889949
47	2.710137892
48	2.70566368
49	2.70362191
50	2.693982377
51	2.691207568
52	2.688129668
53	2.678578564
54	2.671734489
55	2.666626492
56	2.661223891
57	2.657595945
58	2.65294726
59	2.647674525
60	2.6399417
61	2.638255849
62	2.634045033
63	2.629151253
64	2.627134518
65	2.625244351
66	2.6219685
67	2.615625743
68	2.611830821
69	2.610053338
70	2.60518372
71	2.603169945
72	2.599181215
73	2.59574806
74	2.594277014
75	2.587729188
76	2.584266711
77	2.581188664
78	2.576975641
79	2.575936164
80	2.57477086
81	2.571492576
82	2.567742003
83	2.565413082
84	2.559959198
85	2.557539736
86	2.554704602
87	2.551213001
88	2.545077028
89	2.543983911
90	2.541113014
91	2.540083942
92	2.53770115
93	2.535821468
94	2.534929676
95	2.529951052
96	2.528701911
97	2.525226715
98	2.516851282
99	2.511599158
100	2.508881496
101	2.506869543
102	2.505390203
103	2.498316561
104	2.494372654
105	2.486308894
106	2.484647442
107	2.482649249
108	2.479382911
109	2.478030166
110	2.475842705
111	2.472368352
112	2.46778595
113	2.466252184
114	2.462254705
115	2.457865141
116	2.45732844
117	2.454653277
118	2.447370459
119	2.44584045
120	2.443937886
121	2.440538148
122	2.436517163
123	2.432157895
124	2.429484802
125	2.422866311
126	2.421414395
127	2.419746632
128	2.41596251
129	2.415244449
130	2.413255528
131	2.410860132
132	2.409965503
133	2.409310892
134	2.40739089
135	2.405043053
136	2.403311695
137	2.399730748
138	2.397239316
139	2.395646156
140	2.394137504
141	2.392652288
142	2.391512534
143	2.388245385
144	2.386178947
145	2.384014634
146	2.381330084
147	2.374277793
148	2.371535003
149	2.368802533
150	2.3662933
151	2.36304679
152	2.360442464
153	2.357944131
154	2.355414881
155	2.3530191
156	2.346761189
157	2.341844164
158	2.340924707
159	2.340019057
160	2.337505276
161	2.336086464
162	2.331809182
163	2.331221795
164	2.329534955
165	2.329082157
166	2.328269466
167	2.32699671
168	2.322655548
169	2.318981401
170	2.318192779
171	2.316224271
172	2.313726423
173	2.310611894
174	2.309318292
175	2.307803128
176	2.305368209
177	2.30114499
178	2.298356467
179	2.295850294
180	2.29461509
181	2.293411576
182	2.290056824
183	2.289097619
184	2.286633587
185	2.283787293
186	2.282914081
187	2.280822965
188	2.277642708
189	2.276419036
190	2.275123367
191	2.271514088
192	2.27033232
193	2.267930838
194	2.266184392
195	2.263726109
196	2.261605261
197	2.256894025
198	2.247752595
199	2.246850436
200	2.244849024
201	2.244160567
202	2.239593113
203	2.231947968
204	2.230618182
205	2.228759037
206	2.227090791
207	2.225217846
208	2.219550771
209	2.218918182
210	2.21825108
211	2.215264592
212	2.21440623
213	2.212552536
214	2.209511453
215	2.208384517
216	2.208039317
217	2.205313121
218	2.201171302
219	2.196095542
220	2.192573584
221	2.186081899
222	2.181463529
223	2.17671788
224	2.17545917
225	2.173908063
226	2.172095838
227	2.167116792
228	2.164817845
229	2.16162532
230	2.161371547
231	2.159445153
232	2.158328309
233	2.154957162
234	2.153895586
235	2.15094472
236	2.148589733
237	2.145894932
238	2.142855831
239	2.142013464
240	2.140347307
241	2.13770045
242	2.134945749
243	2.133981053
244	2.13217814
245	2.132063637
246	2.131113106
247	2.129560046
248	2.128427617
249	2.126859242
250	2.125257193
251	2.12175903
252	2.119916385
253	2.118538853
254	2.117438384
255	2.113145889
256	2.112578819
257	2.111620768
258	2.109776857
259	2.106202861
260	2.104369468
261	2.103271548
262	2.100902356
263	2.099414969
264	2.097902881
265	2.096304187
266	2.094375999
267	2.093849283
268	2.091959425
269	2.090064269
270	2.088491859
271	2.087449849
272	2.086391291
273	2.084719196
274	2.084604754
275	2.081759204
276	2.08158401
277	2.080636085
278	2.079907532
279	2.079478791
280	2.078416913
281	2.078182347
282	2.077164911
283	2.070403676
284	2.069911563
285	2.067333614
286	2.066867461
287	2.065202479
288	2.063796523
289	2.062844604
290	2.057825872
291	2.056044503
292	2.053463468
293	2.050423113
294	2.049988901
295	2.049277614
296	2.047998857
