iter	Passed	Remaining
0	76	114454
1	98	74134
2	137	68371
3	171	64096
4	201	60193
5	234	58412
6	267	56952
7	301	56296
8	343	56879
9	382	57046
10	415	56199
11	450	55804
12	480	54917
13	499	53069
14	532	52681
15	565	52482
16	598	52200
17	634	52250
18	662	51660
19	691	51138
20	729	51407
21	747	50226
22	790	50772
23	838	51559
24	874	51575
25	916	51957
26	958	52268
27	993	52246
28	1047	53129
29	1096	53729
30	1144	54211
31	1165	53476
32	1184	52638
33	1215	52430
34	1246	52167
35	1277	51956
36	1307	51716
37	1337	51477
38	1374	51478
39	1404	51247
40	1427	50793
41	1462	50775
42	1500	50845
43	1547	51192
44	1580	51092
45	1611	50944
46	1643	50806
47	1670	50539
48	1698	50307
49	1715	49750
50	1744	49563
51	1775	49437
52	1807	49341
53	1833	49107
54	1867	49051
55	1904	49098
56	1938	49086
57	1977	49171
58	2008	49053
59	2037	48894
60	2072	48887
61	2105	48834
62	2139	48803
63	2171	48732
64	2206	48702
65	2246	48811
66	2280	48780
67	2319	48836
68	2364	49043
69	2403	49102
70	2442	49151
71	2476	49125
72	2508	49041
73	2545	49047
74	2577	48972
75	2613	48964
76	2651	48997
77	2689	49030
78	2726	49044
79	2758	48963
80	2793	48936
81	2846	49217
82	2887	49288
83	2933	49454
84	2968	49413
85	2998	49309
86	3029	49205
87	3059	49098
88	3089	48987
89	3117	48841
90	3148	48745
91	3180	48674
92	3210	48572
93	3240	48469
94	3269	48359
95	3299	48253
96	3330	48174
97	3363	48121
98	3406	48208
99	3447	48269
100	3516	48715
101	3575	49008
102	3615	49039
103	3654	49049
104	3690	49029
105	3744	49237
106	3787	49312
107	3830	49369
108	3872	49415
109	3916	49487
110	3955	49498
111	3998	49546
112	4038	49568
113	4086	49678
114	4120	49627
115	4151	49528
116	4180	49420
117	4209	49299
118	4239	49200
119	4271	49123
120	4301	49026
121	4332	48940
122	4366	48888
123	4416	49007
124	4460	49062
125	4497	49047
126	4532	49003
127	4565	48941
128	4600	48894
129	4634	48836
130	4675	48859
131	4719	48913
132	4766	48991
133	4804	48975
134	4842	48959
135	4887	49021
136	4934	49091
137	4988	49235
138	5050	49449
139	5105	49592
140	5154	49681
141	5211	49835
142	5264	49955
143	5308	49987
144	5364	50129
145	5419	50262
146	5473	50375
147	5519	50419
148	5557	50389
149	5597	50376
150	5633	50328
151	5667	50261
152	5699	50175
153	5737	50150
154	5779	50150
155	5827	50205
156	5876	50267
157	5932	50390
158	6009	50681
159	6081	50929
160	6150	51154
161	6210	51290
162	6271	51440
163	6322	51504
164	6380	51622
165	6441	51767
166	6486	51778
167	6551	51946
168	6625	52181
169	6762	52909
170	6866	53368
171	6983	53918
172	7042	54020
173	7093	54060
174	7147	54117
175	7205	54206
176	7291	54499
177	7353	54611
178	7404	54640
179	7443	54588
180	7489	54578
181	7531	54543
182	7575	54520
183	7610	54431
184	7654	54409
185	7698	54388
186	7772	54575
187	7868	54913
188	7943	55100
189	8002	55173
190	8044	55131
191	8089	55109
192	8128	55046
193	8169	54994
194	8206	54921
195	8240	54825
196	8271	54710
197	8308	54637
198	8347	54570
199	8384	54496
200	8426	54455
201	8467	54411
202	8512	54388
203	8557	54362
204	8595	54296
205	8633	54231
206	8672	54169
207	8714	54128
208	8762	54125
209	8807	54105
210	8854	54095
211	8910	54135
212	8970	54201
213	9024	54230
214	9061	54161
215	9096	54074
216	9132	53998
217	9174	53951
218	9213	53893
219	9246	53796
220	9276	53685
221	9310	53595
222	9351	53548
223	9401	53557
224	9450	53550
225	9490	53498
226	9541	53506
227	9584	53470
228	9621	53402
229	9659	53337
230	9698	53276
231	9738	53226
232	9783	53198
233	9829	53181
234	9871	53139
235	9913	53097
236	9951	53030
237	9985	52950
238	10020	52871
239	10053	52781
240	10088	52703
241	10136	52694
242	10176	52638
243	10214	52579
244	10259	52551
245	10298	52495
246	10340	52456
247	10390	52456
248	10435	52427
249	10473	52368
250	10508	52290
251	10541	52205
252	10581	52153
253	10617	52086
254	10656	52027
255	10690	51950
256	10724	51869
257	10761	51803
258	10794	51723
259	10829	51648
260	10865	51578
261	10907	51539
262	10942	51469
263	10986	51436
264	11024	51379
265	11071	51359
266	11111	51313
267	11159	51301
268	11201	51258
269	11246	51232
270	11282	51166
271	11318	51101
272	11361	51065
273	11407	51042
274	11461	51056
275	11518	51083
276	11577	51114
277	11615	51058
278	11650	50988
279	11683	50906
280	11717	50830
281	11746	50734
282	11777	50646
283	11808	50560
284	11841	50480
285	11874	50405
286	11915	50361
287	11954	50309
288	11983	50215
289	12010	50113
290	12035	50001
291	12062	49902
292	12087	49794
293	12115	49697
294	12143	49602
295	12173	49517
296	12203	49430
297	12233	49344
298	12259	49243
299	12287	49148
300	12318	49071
301	12351	48998
302	12389	48942
303	12419	48862
304	12455	48800
305	12486	48722
306	12523	48667
307	12561	48613
308	12593	48539
309	12625	48467
310	12658	48395
311	12690	48322
312	12728	48268
313	12756	48183
314	12793	48126
315	12824	48053
316	12857	47980
317	12896	47936
318	12929	47868
319	12959	47787
320	12986	47698
321	13025	47650
322	13063	47603
323	13099	47546
324	13137	47497
325	13171	47433
326	13202	47358
327	13237	47299
328	13275	47251
329	13319	47224
330	13361	47188
331	13401	47148
332	13438	47095
333	13479	47058
334	13520	47019
335	13556	46964
336	13590	46900
337	13624	46838
338	13656	46769
339	13685	46690
340	13715	46614
341	13744	46538
342	13773	46459
343	13803	46387
344	13834	46315
345	13865	46246
346	13896	46174
347	13932	46122
348	13967	46063
349	14002	46007
350	14043	45970
351	14076	45908
352	14118	45873
353	14154	45822
354	14185	45752
355	14216	45684
356	14249	45620
357	14283	45563
358	14320	45515
359	14363	45484
360	14399	45431
361	14431	45367
362	14461	45296
363	14499	45250
364	14538	45207
365	14572	45151
366	14607	45094
367	14637	45025
368	14673	44975
369	14717	44948
370	14757	44908
371	14793	44857
372	14830	44809
373	14866	44759
374	14911	44733
375	14948	44687
376	14987	44645
377	15022	44591
378	15056	44533
379	15095	44490
380	15133	44448
381	15166	44387
382	15195	44316
383	15225	44250
384	15257	44185
385	15292	44133
386	15329	44086
387	15365	44036
388	15401	43988
389	15436	43935
390	15474	43891
391	15510	43841
392	15544	43784
393	15575	43721
394	15605	43656
395	15637	43595
396	15667	43530
397	15695	43457
398	15723	43387
399	15752	43319
400	15782	43255
401	15814	43195
402	15842	43124
403	15875	43068
404	15910	43018
405	15943	42961
406	15989	42939
407	16038	42926
408	16079	42891
409	16117	42848
410	16153	42800
411	16190	42756
412	16225	42704
413	16263	42661
414	16299	42613
415	16340	42579
416	16386	42557
417	16430	42530
418	16471	42495
419	16515	42467
420	16554	42427
421	16585	42368
422	16620	42316
423	16654	42263
424	16687	42208
425	16718	42150
426	16746	42082
427	16776	42019
428	16803	41949
429	16837	41897
430	16875	41856
431	16912	41810
432	16945	41756
433	16981	41710
434	17017	41664
435	17050	41610
436	17086	41562
437	17120	41511
438	17158	41469
439	17195	41425
440	17223	41359
441	17252	41297
442	17288	41249
443	17322	41199
444	17368	41175
445	17417	41161
446	17463	41138
447	17504	41104
448	17544	41068
449	17583	41028
450	17622	40988
451	17656	40939
452	17690	40886
453	17722	40831
454	17753	40775
455	17789	40728
456	17825	40681
457	17862	40639
458	17898	40593
459	17936	40552
460	17974	40509
461	18013	40470
462	18046	40419
463	18075	40357
464	18107	40304
465	18138	40247
466	18166	40184
467	18194	40121
468	18221	40056
469	18248	39991
470	18287	39952
471	18319	39898
472	18356	39856
473	18389	39805
474	18422	39752
475	18451	39695
476	18484	39642
477	18522	39601
478	18557	39554
479	18587	39497
480	18616	39439
481	18649	39389
482	18685	39344
483	18722	39302
484	18760	39261
485	18804	39233
486	18844	39197
487	18886	39165
488	18925	39128
489	18965	39092
490	19009	39064
491	19048	39025
492	19090	38993
493	19130	38957
494	19171	38923
495	19210	38886
496	19248	38844
497	19287	38807
498	19321	38758
499	19356	38712
500	19388	38660
501	19419	38607
502	19451	38554
503	19487	38511
504	19524	38468
505	19559	38423
506	19595	38378
507	19633	38339
508	19670	38298
509	19718	38277
510	19753	38230
511	19791	38192
512	19825	38143
513	19863	38103
514	19899	38059
515	19936	38017
516	19974	37979
517	20011	37936
518	20049	37897
519	20096	37873
520	20144	37852
521	20190	37827
522	20234	37798
523	20277	37768
524	20323	37743
525	20365	37711
526	20404	37673
527	20446	37639
528	20493	37616
529	20529	37573
530	20564	37526
531	20601	37484
532	20638	37444
533	20677	37405
534	20712	37359
535	20747	37315
536	20786	37275
537	20823	37234
538	20864	37199
539	20919	37191
540	20970	37173
541	21021	37155
542	21063	37122
543	21107	37092
544	21152	37066
545	21190	37025
546	21233	36993
547	21278	36966
548	21324	36939
549	21373	36917
550	21420	36893
551	21469	36871
552	21510	36836
553	21549	36797
554	21591	36763
555	21627	36719
556	21667	36683
557	21701	36636
558	21735	36588
559	21769	36541
560	21806	36499
561	21843	36458
562	21881	36417
563	21916	36371
564	21947	36319
565	21979	36269
566	22010	36219
567	22041	36167
568	22075	36120
569	22107	36070
570	22141	36022
571	22175	35976
572	22207	35928
573	22240	35878
574	22272	35830
575	22306	35783
576	22339	35735
577	22368	35681
578	22397	35627
579	22427	35575
580	22460	35527
581	22497	35485
582	22532	35440
583	22566	35395
584	22602	35353
585	22641	35314
586	22680	35275
587	22717	35234
588	22760	35203
589	22800	35166
590	22845	35137
591	22897	35120
592	22948	35100
593	22999	35079
594	23050	35059
595	23102	35042
596	23154	35022
597	23199	34993
598	23241	34959
599	23290	34935
600	23341	34914
601	23393	34895
602	23444	34875
603	23501	34862
604	23558	34851
605	23619	34844
606	23672	34825
607	23728	34812
608	23796	34815
609	23841	34785
610	23885	34753
611	23919	34706
612	23956	34664
613	23999	34630
614	24033	34584
615	24074	34548
616	24105	34497
617	24135	34446
618	24165	34394
619	24191	34336
620	24214	34274
621	24241	34218
622	24268	34162
623	24296	34108
624	24323	34052
625	24350	33997
626	24378	33942
627	24401	33882
628	24426	33823
629	24454	33769
630	24486	33722
631	24512	33665
632	24538	33608
633	24566	33555
634	24594	33502
635	24627	33455
636	24658	33406
637	24686	33353
638	24712	33297
639	24738	33242
640	24768	33192
641	24800	33143
642	24826	33089
643	24855	33037
644	24880	32981
645	24908	32929
646	24936	32875
647	24965	32825
648	24996	32776
